city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Lucé,48.4383,1.465,France,FR,Centre-Val de Loire,,15435,15403
Bois-d’Arcy,48.8014,2.0317,France,FR,Île-de-France,,15325,15325
Carrières-sur-Seine,48.9108,2.2889,France,FR,Île-de-France,,15178,15178
Rive-de-Gier,45.5294,4.6169,France,FR,Auvergne-Rhône-Alpes,,15105,14978
Wattignies,50.585,3.0431,France,FR,Hauts-de-France,,15075,15075
Saint-Brice-sous-Forêt,48.9986,2.3569,France,FR,Île-de-France,,15043,15043
Montesson,48.9086,2.1494,France,FR,Île-de-France,,15013,14991
Montargis,47.9969,2.7325,France,FR,Centre-Val de Loire,minor,14976,14976
Vesoul,47.6222,6.1553,France,FR,Bourgogne-Franche-Comté,minor,14973,14914
Verrières-le-Buisson,48.7475,2.2628,France,FR,Île-de-France,,14941,14888
Francheville,45.7364,4.7636,France,FR,Auvergne-Rhône-Alpes,,14906,14906
Valenton,48.745,2.4672,France,FR,Île-de-France,,14883,14883
Illzach,47.7822,7.3481,France,FR,Grand Est,,14784,14784
Haubourdin,50.6092,2.9869,France,FR,Hauts-de-France,,14775,14725
Longwy,49.5197,5.7606,France,FR,Grand Est,,14774,14774
Le Raincy,48.8992,2.5231,France,FR,Île-de-France,minor,14708,14569
Ramonville-Saint-Agne,43.5461,1.4756,France,FR,Occitanie,,14600,14600
Bois-Guillaume,49.47,1.1194,France,FR,Normandie,,14592,14592
Villers-lès-Nancy,48.6731,6.1547,France,FR,Grand Est,,14558,14525
Les Sables-d’Olonne,46.4972,-1.7833,France,FR,Pays de la Loire,minor,14545,14545
Montmagny,48.9736,2.3458,France,FR,Île-de-France,,14523,14523
Dinan,48.4556,-2.0503,France,FR,Bretagne,minor,14407,14407
Lognes,48.8361,2.6278,France,FR,Île-de-France,,14353,14353
Arnouville-lès-Gonesse,48.9872,2.4167,France,FR,Île-de-France,,14329,14255
Chenôve,47.2911,5.0072,France,FR,Bourgogne-Franche-Comté,,14216,14025
Castanet-Tolosan,43.5156,1.4981,France,FR,Occitanie,,14213,14213
Saint-Maurice,48.8183,2.4347,France,FR,Île-de-France,,14189,14189
Auray,47.6678,-2.9825,France,FR,Bretagne,,14141,14141
Fleury-Mérogis,48.6294,2.3614,France,FR,Île-de-France,,13917,13641
Persan,49.1533,2.2711,France,FR,Île-de-France,,13734,13734
Avon,48.4089,2.725,France,FR,Île-de-France,,13662,13419
Lys-lès-Lannoy,50.6714,3.2144,France,FR,Hauts-de-France,,13643,13643
Beausoleil,43.7419,7.4236,France,FR,Provence-Alpes-Côte d’Azur,,13576,13358
Outreau,50.7039,1.5939,France,FR,Hauts-de-France,,13575,13378
Montévrain,48.8753,2.7456,France,FR,Île-de-France,,13517,13517
Fontenay-le-Fleury,48.8136,2.0486,France,FR,Île-de-France,,13494,13466
Courcouronnes,48.6239,2.4294,France,FR,Île-de-France,,13490,13490
Morangis,48.7064,2.3347,France,FR,Île-de-France,,13453,13424
Vaires-sur-Marne,48.8742,2.6381,France,FR,Île-de-France,,13383,13368
Audincourt,47.4828,6.8397,France,FR,Bourgogne-Franche-Comté,,13341,13341
Anzin,50.3714,3.5044,France,FR,Hauts-de-France,,13329,13329
Andrésy,48.9808,2.0583,France,FR,Île-de-France,,13302,13302
Kingersheim,47.7914,7.3381,France,FR,Grand Est,,13267,13263
Mouvaux,50.7033,3.1406,France,FR,Hauts-de-France,,13173,13121
Saint-André,50.6603,3.0439,France,FR,Hauts-de-France,,13151,13151
Bayeux,49.2786,-0.7039,France,FR,Normandie,minor,13017,12682
Ostwald,48.5511,7.7136,France,FR,Grand Est,,12985,12985
Billère,43.3025,-0.3972,France,FR,Nouvelle-Aquitaine,,12793,12793
Saint-André-les-Vergers,48.2797,4.0539,France,FR,Grand Est,,12784,12784
Riedisheim,47.7483,7.3669,France,FR,Grand Est,,12660,12520
Épinay-sous-Sénart,48.6931,2.5158,France,FR,Île-de-France,,12279,12266
Bully-les-Mines,50.4419,2.7244,France,FR,Hauts-de-France,,12156,12156
Marly,50.3489,3.5442,France,FR,Hauts-de-France,,12083,12083
L’Union,43.6564,1.4844,France,FR,Occitanie,,11798,11798
Villecresnes,48.7214,2.5342,France,FR,Île-de-France,,11779,11779
Vitry-le-François,48.7247,4.5844,France,FR,Grand Est,minor,11743,11376
Le Relecq-Kerhuon,48.4086,-4.3969,France,FR,Bretagne,,11717,11717
Talant,47.3364,5.0056,France,FR,Bourgogne-Franche-Comté,,11713,11713
Arcachon,44.6586,-1.1689,France,FR,Nouvelle-Aquitaine,minor,11630,11630
Yvetot,49.6169,0.7531,France,FR,Normandie,,11627,11448
Enghien-les-Bains,48.9697,2.3081,France,FR,Île-de-France,,11470,11470
Stiring-Wendel,49.2,6.9292,France,FR,Grand Est,,11385,11178
Arpajon,48.5903,2.2478,France,FR,Île-de-France,,11355,11355
Méricourt,50.4022,2.8658,France,FR,Hauts-de-France,,11346,11267
Bruay-sur-l’Escaut,50.3983,3.5394,France,FR,Hauts-de-France,,11311,11258
Hœnheim,48.6242,7.7547,France,FR,Grand Est,,11304,11304
Craponne,45.7453,4.7233,France,FR,Auvergne-Rhône-Alpes,,11248,11248
Ville-d’Avray,48.8261,2.1933,France,FR,Île-de-France,,11225,11225
Épinay-sur-Orge,48.6739,2.3272,France,FR,Île-de-France,,11184,11184
Dugny,48.9536,2.4164,France,FR,Île-de-France,,11073,11073
Saint-Jean,43.6653,1.505,France,FR,Occitanie,,11017,11017
Saint-Germain-lès-Arpajon,48.5953,2.2556,France,FR,Île-de-France,,10983,10983
Voisins-le-Bretonneux,48.7583,2.0508,France,FR,Île-de-France,,10921,10835
Cesson,48.5658,2.6011,France,FR,Île-de-France,,10833,10833
Marquette-lès-Lille,50.6758,3.0661,France,FR,Hauts-de-France,,10798,10798
Beaumont,45.7517,3.0831,France,FR,Auvergne-Rhône-Alpes,,10793,10664
Maromme,49.4819,1.0419,France,FR,Normandie,,10730,10663
Le Pont-de-Claix,45.1231,5.6981,France,FR,Auvergne-Rhône-Alpes,,10716,10716
Déville-lès-Rouen,49.4697,1.0497,France,FR,Normandie,,10654,10654
